Fecha_Hecho;Delito;Categoria_Delito;Competencia
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;LESIONES INTENCIONALES POR ARMA DE FUEGO;LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO;FUERO COMUN
2021-02-05;AMENAZAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;AMENAZAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ABUSO SEXUAL;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;SUSTRACCION DE MENORES;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;OMISION DE AUXILIO O DE CUIDADO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;CONTRA LA INTIMIDAD SEXUAL;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;RETENCION DE MENORES;DELITO DE BAJO IMPACTO;INCOMPETENCIA
2021-02-05;RETENCION DE MENORES;DELITO DE BAJO IMPACTO;INCOMPETENCIA
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;SUSTRACCION DE MENORES;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLACION;VIOLACION;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
